Date,Open,High,Low,Close,Adj Close,Volume
5-Jun-25,203.5,204.75,200.15,200.63,200.21,"55,126,100"
4-Jun-25,202.91,206.24,202.1,202.82,202.39,"43,604,000"
3-Jun-25,201.35,203.77,200.96,203.27,202.84,"46,381,600"
2-Jun-25,200.28,202.13,200.12,201.7,201.28,"35,423,300"
30-May-25,199.37,201.96,196.78,200.85,200.43,"70,819,900"
29-May-25,203.58,203.81,198.51,199.95,199.53,"51,396,800"
28-May-25,200.59,202.73,199.9,200.42,200,"45,339,700"
27-May-25,198.3,200.74,197.43,200.21,199.79,"56,288,500"
23-May-25,193.67,197.7,193.46,195.27,194.86,"78,432,900"
22-May-25,200.71,202.75,199.7,201.36,200.94,"46,742,400"
21-May-25,205.17,207.04,200.71,202.09,201.67,"59,211,800"
20-May-25,207.67,208.47,205.03,206.86,206.43,"42,496,600"
19-May-25,207.91,209.48,204.26,208.78,208.34,"46,140,500"
16-May-25,212.36,212.57,209.77,211.26,210.82,"54,737,900"
15-May-25,210.95,212.96,209.54,211.45,211.01,"45,029,500"
14-May-25,212.43,213.94,210.58,212.33,211.88,"49,325,800"
13-May-25,210.43,213.4,209,212.93,212.48,"51,909,300"
12-May-25,210.97,211.27,206.75,210.79,210.35,"63,775,800"
9-May-25,199,200.54,197.54,198.53,197.85,"36,453,900"
8-May-25,197.72,200.05,194.68,197.49,196.82,"50,478,900"
7-May-25,199.17,199.44,193.25,196.25,195.58,"68,536,700"
6-May-25,198.21,200.65,197.02,198.51,197.83,"51,216,500"
5-May-25,203.1,204.1,198.21,198.89,198.21,"69,018,500"
2-May-25,206.09,206.99,202.16,205.35,204.65,"101,010,600"
1-May-25,209.08,214.56,208.9,213.32,212.59,"57,365,700"
30-Apr-25,209.3,213.58,206.67,212.5,211.78,"52,286,500"
29-Apr-25,208.69,212.24,208.37,211.21,210.49,"36,827,600"
28-Apr-25,210,211.5,207.46,210.14,209.42,"38,743,100"
25-Apr-25,206.37,209.75,206.2,209.28,208.57,"38,222,300"
24-Apr-25,204.89,208.83,202.94,208.37,207.66,"47,311,000"
23-Apr-25,206,208,202.8,204.6,203.9,"52,929,200"
22-Apr-25,196.12,201.59,195.97,199.74,199.06,"52,976,400"
21-Apr-25,193.27,193.8,189.81,193.16,192.5,"46,742,500"
17-Apr-25,197.2,198.83,194.42,196.98,196.31,"52,164,700"
16-Apr-25,198.36,200.7,192.37,194.27,193.61,"59,732,400"
15-Apr-25,201.86,203.51,199.8,202.14,201.45,"51,343,900"
14-Apr-25,211.44,212.94,201.16,202.52,201.83,"101,352,900"
11-Apr-25,186.1,199.54,186.06,198.15,197.47,"87,435,900"
10-Apr-25,189.07,194.78,183,190.42,189.77,"121,880,000"
9-Apr-25,171.95,200.61,171.89,198.85,198.17,"184,395,900"
8-Apr-25,186.7,190.34,169.21,172.42,171.83,"120,859,500"
7-Apr-25,177.2,194.15,174.62,181.46,180.84,"160,466,300"
4-Apr-25,193.89,199.88,187.34,188.38,187.74,"125,910,900"
3-Apr-25,205.54,207.49,201.25,203.19,202.5,"103,419,000"
2-Apr-25,221.32,225.19,221.02,223.89,223.13,"35,905,900"
1-Apr-25,219.81,223.68,218.9,223.19,222.43,"36,412,700"
31-Mar-25,217.01,225.62,216.23,222.13,221.37,"65,299,300"
28-Mar-25,221.67,223.81,217.68,217.9,217.16,"39,818,600"
27-Mar-25,221.39,224.99,220.56,223.85,223.09,"37,094,800"
26-Mar-25,223.51,225.02,220.47,221.53,220.78,"34,466,100"
25-Mar-25,220.77,224.1,220.08,223.75,222.99,"34,493,600"
24-Mar-25,221,221.48,218.58,220.73,219.98,"44,299,500"
21-Mar-25,211.56,218.84,211.28,218.27,217.53,"94,127,800"
20-Mar-25,213.99,217.49,212.22,214.1,213.37,"48,862,900"
19-Mar-25,214.22,218.76,213.75,215.24,214.51,"54,385,400"
18-Mar-25,214.16,215.15,211.49,212.69,211.97,"42,432,400"
17-Mar-25,213.31,215.22,209.97,214,213.27,"48,073,400"
14-Mar-25,211.25,213.95,209.58,213.49,212.76,"60,107,600"
